,countyFIPS,County Name_x,Month_Year_x,Cases,year,month,Month_c,Year,County_FIPS,LAUS Code,State FIPS Code,County FIPS Code,County Name_y,State Abbreviation,Month_Year_y,Labor Force,Employed,Unemployed,Unemployment Rate (%)
42,34013,Essex County,2020-02-29,0,2020,2,Feb,20,013,CN3401300000000,34,013,Essex County, NJ,Feb,375825,357005,18820,5
43,34013,Essex County,2020-03-31,1900,2020,3,Mar,20,013,CN3401300000000,34,013,Essex County, NJ,Mar,373831,356621,17210,4.6
44,34013,Essex County,2020-04-30,13682,2020,4,Apr,20,013,CN3401300000000,34,013,Essex County, NJ,Apr,366044,304445,61599,16.8
45,34013,Essex County,2020-05-31,17629,2020,5,May,20,013,CN3401300000000,34,013,Essex County, NJ,May,373779,311862,61917,16.6
46,34013,Essex County,2020-06-30,18758,2020,6,Jun,20,013,CN3401300000000,34,013,Essex County, NJ,Jun,383713,311326,72387,18.9
47,34013,Essex County,2020-07-31,19488,2020,7,Jul,20,013,CN3401300000000,34,013,Essex County, NJ,Jul,391806,324539,67267,17.2
48,34013,Essex County,2020-08-31,20324,2020,8,Aug,20,013,CN3401300000000,34,013,Essex County, NJ,Aug,383542,330451,53091,13.8
49,34015,Gloucester County,2020-02-29,0,2020,2,Feb,20,015,CN3401500000000,34,015,Gloucester County, NJ,Feb,153172,146539,6633,4.3
50,34015,Gloucester County,2020-03-31,114,2020,3,Mar,20,015,CN3401500000000,34,015,Gloucester County, NJ,Mar,154124,148401,5723,3.7
51,34015,Gloucester County,2020-04-30,1251,2020,4,Apr,20,015,CN3401500000000,34,015,Gloucester County, NJ,Apr,153658,129341,24317,15.8
52,34015,Gloucester County,2020-05-31,2234,2020,5,May,20,015,CN3401500000000,34,015,Gloucester County, NJ,May,153752,131509,22243,14.5
53,34015,Gloucester County,2020-06-30,2578,2020,6,Jun,20,015,CN3401500000000,34,015,Gloucester County, NJ,Jun,154839,130520,24319,15.7
54,34015,Gloucester County,2020-07-31,3059,2020,7,Jul,20,015,CN3401500000000,34,015,Gloucester County, NJ,Jul,155087,134286,20801,13.4
55,34015,Gloucester County,2020-08-31,3685,2020,8,Aug,20,015,CN3401500000000,34,015,Gloucester County, NJ,Aug,154008,138295,15713,10.2
56,34017,Hudson County,2020-02-29,0,2020,2,Feb,20,017,CN3401700000000,34,017,Hudson County, NJ,Feb,369783,356337,13446,3.6
57,34017,Hudson County,2020-03-31,1606,2020,3,Mar,20,017,CN3401700000000,34,017,Hudson County, NJ,Mar,370880,358576,12304,3.3
58,34017,Hudson County,2020-04-30,14916,2020,4,Apr,20,017,CN3401700000000,34,017,Hudson County, NJ,Apr,358627,301197,57430,16
59,34017,Hudson County,2020-05-31,18419,2020,5,May,20,017,CN3401700000000,34,017,Hudson County, NJ,May,366145,308162,57983,15.8
60,34017,Hudson County,2020-06-30,18841,2020,6,Jun,20,017,CN3401700000000,34,017,Hudson County, NJ,Jun,374136,307463,66673,17.8
61,34017,Hudson County,2020-07-31,19478,2020,7,Jul,20,017,CN3401700000000,34,017,Hudson County, NJ,Jul,378403,317760,60643,16
62,34017,Hudson County,2020-08-31,20144,2020,8,Aug,20,017,CN3401700000000,34,017,Hudson County, NJ,Aug,373585,326406,47179,12.6
63,34019,Hunterdon County,2020-02-29,0,2020,2,Feb,20,019,CN3401900000000,34,019,Hunterdon County, NJ,Feb,65595,63361,2234,3.4
64,34019,Hunterdon County,2020-03-31,97,2020,3,Mar,20,019,CN3401900000000,34,019,Hunterdon County, NJ,Mar,65151,63250,1901,2.9
65,34019,Hunterdon County,2020-04-30,603,2020,4,Apr,20,019,CN3401900000000,34,019,Hunterdon County, NJ,Apr,61918,54326,7592,12.3
66,34019,Hunterdon County,2020-05-31,993,2020,5,May,20,019,CN3401900000000,34,019,Hunterdon County, NJ,May,62914,55820,7094,11.3
67,34019,Hunterdon County,2020-06-30,1080,2020,6,Jun,20,019,CN3401900000000,34,019,Hunterdon County, NJ,Jun,63318,55447,7871,12.4
68,34019,Hunterdon County,2020-07-31,1130,2020,7,Jul,20,019,CN3401900000000,34,019,Hunterdon County, NJ,Jul,64534,57618,6916,10.7
69,34019,Hunterdon County,2020-08-31,1212,2020,8,Aug,20,019,CN3401900000000,34,019,Hunterdon County, NJ,Aug,64209,59039,5170,8.1
70,34021,Mercer County,2020-02-29,0,2020,2,Feb,20,021,CN3402100000000,34,021,Mercer County, NJ,Feb,207301,199797,7504,3.6
71,34021,Mercer County,2020-03-31,268,2020,3,Mar,20,021,CN3402100000000,34,021,Mercer County, NJ,Mar,208308,201768,6540,3.1
72,34021,Mercer County,2020-04-30,3937,2020,4,Apr,20,021,CN3402100000000,34,021,Mercer County, NJ,Apr,202050,180059,21991,10.9
73,34021,Mercer County,2020-05-31,6933,2020,5,May,20,021,CN3402100000000,34,021,Mercer County, NJ,May,203684,182163,21521,10.6
74,34021,Mercer County,2020-06-30,7659,2020,6,Jun,20,021,CN3402100000000,34,021,Mercer County, NJ,Jun,202832,177710,25122,12.4
75,34021,Mercer County,2020-07-31,8020,2020,7,Jul,20,021,CN3402100000000,34,021,Mercer County, NJ,Jul,208761,185029,23732,11.4
76,34021,Mercer County,2020-08-31,8333,2020,8,Aug,20,021,CN3402100000000,34,021,Mercer County, NJ,Aug,207745,189698,18047,8.7
77,34023,Middlesex County,2020-02-29,0,2020,2,Feb,20,023,CN3402300000000,34,023,Middlesex County, NJ,Feb,447281,431391,15890,3.6
78,34023,Middlesex County,2020-03-31,1277,2020,3,Mar,20,023,CN3402300000000,34,023,Middlesex County, NJ,Mar,441081,427153,13928,3.2
79,34023,Middlesex County,2020-04-30,11715,2020,4,Apr,20,023,CN3402300000000,34,023,Middlesex County, NJ,Apr,423155,363053,60102,14.2
80,34023,Middlesex County,2020-05-31,15921,2020,5,May,20,023,CN3402300000000,34,023,Middlesex County, NJ,May,431564,373444,58120,13.5
81,34023,Middlesex County,2020-06-30,16816,2020,6,Jun,20,023,CN3402300000000,34,023,Middlesex County, NJ,Jun,438149,372705,65444,14.9
82,34023,Middlesex County,2020-07-31,17673,2020,7,Jul,20,023,CN3402300000000,34,023,Middlesex County, NJ,Jul,450234,391004,59230,13.2
83,34023,Middlesex County,2020-08-31,18456,2020,8,Aug,20,023,CN3402300000000,34,023,Middlesex County, NJ,Aug,445786,400485,45301,10.2
84,34025,Monmouth County,2020-02-29,0,2020,2,Feb,20,025,CN3402500000000,34,025,Monmouth County, NJ,Feb,335263,322679,12584,3.8
85,34025,Monmouth County,2020-03-31,1140,2020,3,Mar,20,025,CN3402500000000,34,025,Monmouth County, NJ,Mar,330098,319208,10890,3.3
86,34025,Monmouth County,2020-04-30,6033,2020,4,Apr,20,025,CN3402500000000,34,025,Monmouth County, NJ,Apr,321846,271602,50244,15.6
87,34025,Monmouth County,2020-05-31,8219,2020,5,May,20,025,CN3402500000000,34,025,Monmouth County, NJ,May,326077,279749,46328,14.2
88,34025,Monmouth County,2020-06-30,9140,2020,6,Jun,20,025,CN3402500000000,34,025,Monmouth County, NJ,Jun,330084,279131,50953,15.4
89,34025,Monmouth County,2020-07-31,10057,2020,7,Jul,20,025,CN3402500000000,34,025,Monmouth County, NJ,Jul,336278,292742,43536,12.9
90,34025,Monmouth County,2020-08-31,10734,2020,8,Aug,20,025,CN3402500000000,34,025,Monmouth County, NJ,Aug,333523,300466,33057,9.9
91,34027,Morris County,2020-02-29,0,2020,2,Feb,20,027,CN3402700000000,34,027,Morris County, NJ,Feb,261338,252699,8639,3.3
92,34027,Morris County,2020-03-31,841,2020,3,Mar,20,027,CN3402700000000,34,027,Morris County, NJ,Mar,259899,252406,7493,2.9
93,34027,Morris County,2020-04-30,5287,2020,4,Apr,20,027,CN3402700000000,34,027,Morris County, NJ,Apr,247877,215594,32283,13
94,34027,Morris County,2020-05-31,6463,2020,5,May,20,027,CN3402700000000,34,027,Morris County, NJ,May,251580,220910,30670,12.2
95,34027,Morris County,2020-06-30,6738,2020,6,Jun,20,027,CN3402700000000,34,027,Morris County, NJ,Jun,254772,220436,34336,13.5
96,34027,Morris County,2020-07-31,7136,2020,7,Jul,20,027,CN3402700000000,34,027,Morris County, NJ,Jul,259714,229729,29985,11.5
97,34027,Morris County,2020-08-31,7491,2020,8,Aug,20,027,CN3402700000000,34,027,Morris County, NJ,Aug,256962,234050,22912,8.9
98,34029,Ocean County,2020-02-29,0,2020,2,Feb,20,029,CN3402900000000,34,029,Ocean County, NJ,Feb,281663,268725,12938,4.6
99,34029,Ocean County,2020-03-31,1022,2020,3,Mar,20,029,CN3402900000000,34,029,Ocean County, NJ,Mar,276776,265826,10950,4
100,34029,Ocean County,2020-04-30,6375,2020,4,Apr,20,029,CN3402900000000,34,029,Ocean County, NJ,Apr,273188,225983,47205,17.3
101,34029,Ocean County,2020-05-31,8748,2020,5,May,20,029,CN3402900000000,34,029,Ocean County, NJ,May,275790,232692,43098,15.6
102,34029,Ocean County,2020-06-30,9614,2020,6,Jun,20,029,CN3402900000000,34,029,Ocean County, NJ,Jun,278682,232361,46321,16.6
103,34029,Ocean County,2020-07-31,10414,2020,7,Jul,20,029,CN3402900000000,34,029,Ocean County, NJ,Jul,281878,243810,38068,13.5
104,34029,Ocean County,2020-08-31,11181,2020,8,Aug,20,029,CN3402900000000,34,029,Ocean County, NJ,Aug,278844,250059,28785,10.3
105,34031,Passaic County,2020-02-29,0,2020,2,Feb,20,031,CN3403100000000,34,031,Passaic County, NJ,Feb,248840,236273,12567,5.1
106,34031,Passaic County,2020-03-31,1294,2020,3,Mar,20,031,CN3403100000000,34,031,Passaic County, NJ,Mar,249188,237780,11408,4.6
107,34031,Passaic County,2020-04-30,12449,2020,4,Apr,20,031,CN3403100000000,34,031,Passaic County, NJ,Apr,249112,199887,49225,19.8
108,34031,Passaic County,2020-05-31,16170,2020,5,May,20,031,CN3403100000000,34,031,Passaic County, NJ,May,251967,204562,47405,18.8
109,34031,Passaic County,2020-06-30,16879,2020,6,Jun,20,031,CN3403100000000,34,031,Passaic County, NJ,Jun,256795,203941,52854,20.6
110,34031,Passaic County,2020-07-31,17429,2020,7,Jul,20,031,CN3403100000000,34,031,Passaic County, NJ,Jul,257660,210665,46995,18.2
111,34031,Passaic County,2020-08-31,18351,2020,8,Aug,20,031,CN3403100000000,34,031,Passaic County, NJ,Aug,253055,216539,36516,14.4
112,34033,Salem County,2020-02-29,0,2020,2,Feb,20,033,CN3403300000000,34,033,Salem County, NJ,Feb,29831,28107,1724,5.8
113,34033,Salem County,2020-03-31,12,2020,3,Mar,20,033,CN3403300000000,34,033,Salem County, NJ,Mar,29909,28389,1520,5.1
114,34033,Salem County,2020-04-30,231,2020,4,Apr,20,033,CN3403300000000,34,033,Salem County, NJ,Apr,29409,25170,4239,14.4
115,34033,Salem County,2020-05-31,634,2020,5,May,20,033,CN3403300000000,34,033,Salem County, NJ,May,29772,25811,3961,13.3
116,34033,Salem County,2020-06-30,768,2020,6,Jun,20,033,CN3403300000000,34,033,Salem County, NJ,Jun,29649,25229,4420,14.9
117,34033,Salem County,2020-07-31,865,2020,7,Jul,20,033,CN3403300000000,34,033,Salem County, NJ,Jul,30020,25910,4110,13.7
118,34033,Salem County,2020-08-31,980,2020,8,Aug,20,033,CN3403300000000,34,033,Salem County, NJ,Aug,29866,26682,3184,10.7
119,34035,Somerset County,2020-02-29,0,2020,2,Feb,20,035,CN3403500000000,34,035,Somerset County, NJ,Feb,174401,168315,6086,3.5
120,34035,Somerset County,2020-03-31,413,2020,3,Mar,20,035,CN3403500000000,34,035,Somerset County, NJ,Mar,173473,168167,5306,3.1
121,34035,Somerset County,2020-04-30,3464,2020,4,Apr,20,035,CN3403500000000,34,035,Somerset County, NJ,Apr,164019,143699,20320,12.4
122,34035,Somerset County,2020-05-31,4583,2020,5,May,20,035,CN3403500000000,34,035,Somerset County, NJ,May,166895,147232,19663,11.8
123,34035,Somerset County,2020-06-30,4869,2020,6,Jun,20,035,CN3403500000000,34,035,Somerset County, NJ,Jun,169215,146841,22374,13.2
124,34035,Somerset County,2020-07-31,5177,2020,7,Jul,20,035,CN3403500000000,34,035,Somerset County, NJ,Jul,173137,152982,20155,11.6
125,34035,Somerset County,2020-08-31,5420,2020,8,Aug,20,035,CN3403500000000,34,035,Somerset County, NJ,Aug,171123,155869,15254,8.9
126,34037,Sussex County,2020-02-29,0,2020,2,Feb,20,037,CN3403700000000,34,037,Sussex County, NJ,Feb,75572,72232,3340,4.4
127,34037,Sussex County,2020-03-31,132,2020,3,Mar,20,037,CN3403700000000,34,037,Sussex County, NJ,Mar,75027,72114,2913,3.9
128,34037,Sussex County,2020-04-30,921,2020,4,Apr,20,037,CN3403700000000,34,037,Sussex County, NJ,Apr,74516,61790,12726,17.1
129,34037,Sussex County,2020-05-31,1110,2020,5,May,20,037,CN3403700000000,34,037,Sussex County, NJ,May,74645,63421,11224,15
130,34037,Sussex County,2020-06-30,1192,2020,6,Jun,20,037,CN3403700000000,34,037,Sussex County, NJ,Jun,74999,63129,11870,15.8
131,34037,Sussex County,2020-07-31,1295,2020,7,Jul,20,037,CN3403700000000,34,037,Sussex County, NJ,Jul,75855,65687,10168,13.4
132,34037,Sussex County,2020-08-31,1399,2020,8,Aug,20,037,CN3403700000000,34,037,Sussex County, NJ,Aug,74848,67150,7698,10.3
133,34039,Union County,2020-02-29,0,2020,2,Feb,20,039,CN3403900000000,34,039,Union County, NJ,Feb,281827,269659,12168,4.3
134,34039,Union County,2020-03-31,1418,2020,3,Mar,20,039,CN3403900000000,34,039,Union County, NJ,Mar,280328,269468,10860,3.9
135,34039,Union County,2020-04-30,12578,2020,4,Apr,20,039,CN3403900000000,34,039,Union County, NJ,Apr,271937,230044,41893,15.4
136,34039,Union County,2020-05-31,15821,2020,5,May,20,039,CN3403900000000,34,039,Union County, NJ,May,276606,235570,41036,14.8
137,34039,Union County,2020-06-30,16297,2020,6,Jun,20,039,CN3403900000000,34,039,Union County, NJ,Jun,281299,235116,46183,16.4
138,34039,Union County,2020-07-31,16523,2020,7,Jul,20,039,CN3403900000000,34,039,Union County, NJ,Jul,286811,245064,41747,14.6
139,34039,Union County,2020-08-31,17103,2020,8,Aug,20,039,CN3403900000000,34,039,Union County, NJ,Aug,281642,249419,32223,11.4
140,34041,Warren County,2020-02-29,0,2020,2,Feb,20,041,CN3404100000000,34,041,Warren County, NJ,Feb,57182,54793,2389,4.2
141,34041,Warren County,2020-03-31,76,2020,3,Mar,20,041,CN3404100000000,34,041,Warren County, NJ,Mar,57388,55337,2051,3.6
142,34041,Warren County,2020-04-30,903,2020,4,Apr,20,041,CN3404100000000,34,041,Warren County, NJ,Apr,56731,48557,8174,14.4
143,34041,Warren County,2020-05-31,1160,2020,5,May,20,041,CN3404100000000,34,041,Warren County, NJ,May,57348,50091,7257,12.7
144,34041,Warren County,2020-06-30,1233,2020,6,Jun,20,041,CN3404100000000,34,041,Warren County, NJ,Jun,57987,49969,8018,13.8
145,34041,Warren County,2020-07-31,1329,2020,7,Jul,20,041,CN3404100000000,34,041,Warren County, NJ,Jul,58038,51043,6995,12.1
146,34041,Warren County,2020-08-31,1395,2020,8,Aug,20,041,CN3404100000000,34,041,Warren County, NJ,Aug,57772,52457,5315,9.2
