id,County_Month,countyFIPS,County,Month_Year,Covid_Cases,year,month,Month_c,StateAbbr,LaborForce,Employed,Unemployed,Unemployment_Rate
159,Hudson _Apr,34017,Hudson ,20-Apr,14916,2020,4,Apr, NJ,358627,301197,57430,16
160,Hudson _May,34017,Hudson ,20-May,18419,2020,5,May, NJ,366145,308162,57983,15.8
161,Hudson _Jun,34017,Hudson ,20-Jun,18841,2020,6,Jun, NJ,374136,307463,66673,17.8
162,Hudson _Jul,34017,Hudson ,20-Jul,19478,2020,7,Jul, NJ,378403,317760,60643,16
163,Hudson _Aug,34017,Hudson ,20-Aug,20144,2020,8,Aug, NJ,373585,326406,47179,12.6
164,Hunterdon _Feb,34019,Hunterdon ,20-Feb,0,2020,2,Feb, NJ,65595,63361,2234,3.4
165,Hunterdon _Mar,34019,Hunterdon ,20-Mar,97,2020,3,Mar, NJ,65151,63250,1901,2.9
166,Hunterdon _Apr,34019,Hunterdon ,20-Apr,603,2020,4,Apr, NJ,61918,54326,7592,12.3
167,Hunterdon _May,34019,Hunterdon ,20-May,993,2020,5,May, NJ,62914,55820,7094,11.3
168,Hunterdon _Jun,34019,Hunterdon ,20-Jun,1080,2020,6,Jun, NJ,63318,55447,7871,12.4
169,Hunterdon _Jul,34019,Hunterdon ,20-Jul,1130,2020,7,Jul, NJ,64534,57618,6916,10.7
170,Hunterdon _Aug,34019,Hunterdon ,20-Aug,1212,2020,8,Aug, NJ,64209,59039,5170,8.1
171,Mercer _Feb,34021,Mercer ,20-Feb,0,2020,2,Feb, NJ,207301,199797,7504,3.6
172,Mercer _Mar,34021,Mercer ,20-Mar,268,2020,3,Mar, NJ,208308,201768,6540,3.1
173,Mercer _Apr,34021,Mercer ,20-Apr,3937,2020,4,Apr, NJ,202050,180059,21991,10.9
174,Mercer _May,34021,Mercer ,20-May,6933,2020,5,May, NJ,203684,182163,21521,10.6
175,Mercer _Jun,34021,Mercer ,20-Jun,7659,2020,6,Jun, NJ,202832,177710,25122,12.4
176,Mercer _Jul,34021,Mercer ,20-Jul,8020,2020,7,Jul, NJ,208761,185029,23732,11.4
177,Mercer _Aug,34021,Mercer ,20-Aug,8333,2020,8,Aug, NJ,207745,189698,18047,8.7
178,Middlesex _Feb,34023,Middlesex ,20-Feb,0,2020,2,Feb, NJ,447281,431391,15890,3.6
179,Middlesex _Mar,34023,Middlesex ,20-Mar,1277,2020,3,Mar, NJ,441081,427153,13928,3.2
